Eläimen numero;Nimi;Tuotoskausi numero;Tuotospäivät;Päivätuotos;Päivätuotoksen poikkeama;Päivätuotos. keskim.;Lypsyjä;Keksiarvo Ohikulut;kg väkirehua / 100 kg maitoa;Syönti yht.;Yhteensä tänään;Jäännös yhteensä;Rasva%;Valkuais%;Rasva/valkuais suhde;Märehtimismin. yht.;Paino Keskiarvo;Solut
503;Minttu;1;173;37,7;0,9;36,8;3,1;1,7;15,30;5,86;5,83;0,24;4,87;3,60;1,35;428;574;105
684;Minietti;1;270;29,8;0,9;28,9;3,3;4,7;19,02;5,72;4,93;0,07;4,27;3,32;1,29;450;573;108
778;Milli;1;122;38,2;2,7;35,5;3,1;2,1;19,84;7,12;6,70;0,14;3,86;3,42;1,13;490;573;1304
508;Mesi;1;178;40,3;0,7;39,6;4,3;5,9;12,69;5,05;5,94;0,08;4,14;3,14;1,32;469;538;45
426;Malta;1;247;22,9;0,6;22,3;2,4;6,1;18,36;4,13;3,69;0,06;6,14;3,87;1,59;502;626;157
686;Makiainen;1;277;33,3;1,0;32,3;3,0;5,6;17,41;5,83;5,28;0,06;5,12;3,75;1,37;469;597;131
425;Makarena;1;255;37,9;-2,0;39,9;3,9;2,6;17,89;7,01;6,36;0,14;4,80;3,46;1,39;473;580;28
773;Mainio;1;150;44,8;2,3;42,5;3,6;0,6;12,05;5,27;6,50;0,19;4,36;3,29;1,33;484;557;125
889;Lyydia;2;117;52,7;0,8;51,9;3,4;1,7;16,46;8,74;7,80;0,16;4,72;3,63;1,30;472;632;814
80;Lypsytär;2;12;42,9;-2,5;45,4;4,3;1,6;15,96;6,88;6,88;0,15;4,23;3,41;1,24;493;576;771
660;Lutunen;2;27;45,3;0,0;45,3;4,4;1,4;16,67;7,68;7,80;0,20;3,66;3,54;1,03;426;544;47
623;Lupiini;2;204;35,2;1,3;33,9;2,4;0,4;20,19;6,89;5,46;0,07;5,64;3,91;1,44;493;634;81
624;Luna;2;211;30,0;0,3;29,7;3,0;2,3;15,96;5,00;5,08;0,11;6,27;3,93;1,60;514;609;105
622;Lulu;2;271;25,7;-0,8;26,5;2,9;2,3;17,24;4,48;4,67;0,10;4,80;3,69;1,30;518;544;46
643;Lulli;2;44;42,4;-7,0;49,4;4,6;5,7;13,25;6,25;7,80;0,18;3,81;3,58;1,06;363;;24
899;Lotto;2;46;52,9;0,0;52,9;3,3;1,1;13,42;7,13;7,80;0,46;4,63;3,66;1,27;425;621;102
897;Lotta;2;97;47,9;-1,3;49,2;4,0;3,6;15,25;7,28;7,80;0,21;3,68;3,38;1,09;536;550;30
612;Lizzie;2;274;41,4;2,3;39,1;3,4;1,0;13,50;5,72;5,88;0,15;5,37;3,93;1,37;473;657;21
