;KEY;CowKEY;Records source;Farm;Cow Code;Cow Name;Calving No;CowCalvingKEY;Date;Week;CowCalvPeakProdAvg;CowCalvPeakProdAvgDIM;DistProdToday;DistProdAvg;DistFarm;DistFPM;DistWeight;DistJaanos;DistSyo;DistLyps;AngleProdToday;AngleProdAvg;AngleFarm;AngleFPM;AngleWeight;AngleJaanos;AngleSyo;AngleLyps;SlopeProdToday;SlopeProdAvg;SlopeFarm;SlopeFPM;SlopeWeight;SlopeJaanos;SlopeSyo;SlopeLyps;DiffProdToday;DiffProdAvg;DiffFarm;DiffFPM;DiffWeight;DiffJaanos;DiffSyo;DiffLyps;DiffDIM;DIM-P2;DIM-P1;Lypsy-P2;Lypsy-P1;Syo-P2;Syo-P1;Jaanos-P2;Jaanos-P1;Weight-P2;Weight-P1;FeedPerMilk-P2;FeedPerMilk-P1;FarmProd-P2;FarmProd-P1;ProdAvg-P2;ProdAvg-P1;ProdToday-P2;ProdToday-P1;Unnamed: 63
1782;LR-47576-97-Milla-20170727-1-71-30,7;LR-47576-97-Milla;LR;47576;97;Milla;1;47576-97-Milla-1;20170727;30;32,3;71;28,05155967;28,00017857;28,02455939;28,00003457;28;28,00002857;28,04567703;28,00874863;0,060639848;-0,003571413;0,041868375;0,001571427;0;0,00142857;0,057080782;-0,024994794;0,060714286;-0,003571429;0,041892857;0,001571429;0;0,001428571;0,057142857;-0,025;1,7;-0,1;1,173;0,044;0;0,04;1,6;-0,7;28;47;19;2,4;3,1;5,89;4,29;0,11;0,07;0;0;0,192;0,148;30,773;29,6;29,7;29,8;31,4;29,7;
1789;LR-48799-319-Lahja-20180108-2-72-48,6;LR-48799-319-Lahja;LR;48799;319;Lahja;2;48799-319-Lahja-2;20180108;2;47,9;72;28,00017857;29,76592011;28,00010045;28,00057215;216,8155898;28,00000714;28,73105637;28,01446055;-0,003571413;-0,346187772;-0,002678565;0,00639277;1,441292636;0,000714286;0,226068388;-0,032131794;-0,003571429;-0,360714286;-0,002678571;0,006392857;7,678571429;0,000714286;0,23;-0,032142857;-0,1;-10,1;-0,075;0,179;215;0,02;6,44;-0,9;28;44;16;3,1;4;13,2;6,76;0,4;0,38;215;0;0,349;0,17;32,557;32,632;26,5;36,6;39,1;39,2;
1790;LR-48799-399-Milou-20180416-1-91-37,1;LR-48799-399-Milou;LR;48799;399;Milou;1;48799-399-Milou-1;20180416;16;37,3;91;29,03876719;29,30255962;29,0051961;29,0001556;63,0634601;29,00011034;29,23255719;29,00431002;0,051678084;0,143827554;-0,018928773;0,00327585;-1,092965272;0,002758614;0,126221931;0,017239671;0,051724138;0,144827586;-0,018931034;0,003275862;-1,931034483;0,002758621;0,126896552;0,017241379;1,5;4,2;-0,549;0,095;-56;0,08;3,68;0,5;29;52;23;3,6;3,1;16,38;12,7;0,54;0,46;133;189;0,439;0,344;32,086;32,635;37,3;33,1;38,4;36,9;
1797;LR-48898-1564--20170725-3-62-44,6;LR-48898-1564-;LR;48898;1564;;3;48898-1564--3;20170725;30;44,3;62;29,6;31,04126286;28,00255138;28,00000579;28,44292531;28,00000714;28,11678502;28,01142624;0,330297355;0,446358266;-0,01349918;0,000642857;0,176708856;0,000714286;0,091175086;0,028563658;0,342857143;0,478571429;-0,0135;0,000642857;0,178571429;0,000714286;0,091428571;0,028571429;9,6;13,4;-0,378;0,018;5;0,02;2,56;0,8;28;36;8;3,9;3,1;6,7;4,14;0,1;0,08;693;688;0,135;0,117;34,822;35,2;44;30,6;43,9;34,3;
1799;LR-48898-422--20180102-5-68-56,1;LR-48898-422-;LR;48898;422;;5;48898-422--5;20180102;1;58,6;68;34,23813663;33,32041416;30,01047899;30,00009882;31,32091953;30,00028167;30,36593486;30,00816556;0,502843211;0,450225596;0,026427179;0,002566661;-0,291456794;0,004333306;0,155403453;-0,0233291;0,55;0,483333333;0,026433333;0,002566667;-0,3;0,004333333;0,156666667;-0,023333333;16,5;14,5;0,793;0,077;-9;0,13;4,7;-0,7;30;35;5;3,1;3,8;8,74;4,04;0,22;0,09;759;768;0,176;0,099;34,226;33,433;55,5;41;58;41,5;
1806;LR-48898-464--20170505-3-55-52,2;LR-48898-464-;LR;48898;464;;3;48898-464--3;20170505;18;52,1;55;33,24695475;32,44996148;27,00206577;27,00005202;31,38470965;27,00009074;27,2903078;27,00018518;0,623046681;0,588002604;0,012369739;0,00196296;-0,534955074;0,002592587;0,145990932;-0,003703687;0,718518519;0,666666667;0,01237037;0,001962963;-0,592592593;0,002592593;0,147037037;-0,003703704;19,4;18;0,334;0,053;-16;0,07;3,97;-0,1;27;31;4;2,9;3;7,56;3,59;0,16;0,09;675;691;0,158;0,105;33,593;33,259;51,3;33,3;53,4;34;
1817;LR-48898-561--20180102-2-71-53;LR-48898-561-;LR;48898;561;;2;48898-561--2;20180102;1;51,8;71;33,54101966;34,93436703;30,01047899;30,00000135;685,6566196;30,02015989;30,20813798;30,00149996;0,463647609;0,537964915;0,026427179;0,0003;1,527028675;0,036650248;0,117456853;-0,009999667;0,5;0,596666667;0,026433333;0,0003;22,83333333;0,036666667;0,118;-0,01;15;17,9;0,793;0,009;685;1,1;3,54;-0,3;30;38;8;2;2,3;8,14;4,6;1,51;0,41;685;0;0,12;0,111;34,226;33,433;49,8;31,9;51,5;36,5;
1821;LR-48898-577--20180222-2-61-43;LR-48898-577-;LR;48898;577;;2;48898-577--2;20180222;8;45,9;61;31,18092366;33,10589071;30,0049864;30,00007707;44,59820624;30,00010667;30,33266226;30,0059994;0,276097019;0,43662716;0,018231313;0,002266663;0,832981267;0,00266666;0,148237887;0,019997334;0,283333333;0,466666667;0,018233333;0,002266667;1,1;0,002666667;0,149333333;0,02;8,5;14;0,547;0,068;33;0,08;4,48;0,6;30;40;10;3;2,4;7,58;3,1;0,17;0,09;608;575;0,17;0,102;36,348;35,801;45,2;31,2;43,3;34,8;
1822;LR-48898-579--20180323-2-66-43,6;LR-48898-579-;LR;48898;579;;2;48898-579--2;20180323;12;41,6;66;22,04291269;21,37755833;21,00862689;21,00000238;21,37755833;21;21,004002;21,00380918;0,30883879;0,188221505;0,028658818;0,00047619;-0,188221505;0;0,019521329;-0,019045316;0,319047619;0,19047619;0,028666667;0,00047619;-0,19047619;0;0,01952381;-0,019047619;6,7;4;0,602;0,01;-4;0;0,41;-0,4;21;37;16;3,6;4;6,78;6,37;0,16;0,16;677;681;0,169;0,159;36,95;36,348;39,5;35,5;43;36,3;
1824;LR-48898-594--20170725-1-77-36,9;LR-48898-594-;LR;48898;594;;1;48898-594--1;20170725;30;37;77;28,02570249;28,29858654;28,00255138;28,00000402;30,08321791;28;28,00411398;28,02159881;0,042830933;0,145395291;-0,01349918;-0,000535714;-0,374333616;0;0,017141178;0,039265522;0,042857143;0,146428571;-0,0135;-0,000535714;-0,392857143;0;0,017142857;0,039285714;1,2;4,1;-0,378;-0,015;-11;0;0,48;1,1;28;51;23;3,7;2,6;5,46;4,98;0,08;0,08;517;528;0,129;0,144;34,822;35,2;34,5;30,4;34,3;33,1;
1838;LR-48898-643--20180222-1-57-42,9;LR-48898-643-;LR;48898;643;;1;48898-643--1;20180222;8;39,9;57;32,42360251;32,12864765;30,0049864;30,0001734;32,69556545;30,00048166;30,21048824;30,01066477;0,389097231;0,366056516;0,018231313;0,003399987;-0,408907829;-0,005666606;0,118114314;0,026660348;0,41;0,383333333;0,018233333;0,0034;-0,433333333;-0,005666667;0,118666667;0,026666667;12,3;11,5;0,547;0,102;-13;-0,17;3,56;0,8;30;36;6;2,6;1,8;6,36;2,8;0,15;0,32;585;598;0,2;0,098;36,348;35,801;37,1;25,6;37,8;25,5;
1852;LR-49068-40--20180207-2-76-36,7;LR-49068-40-;LR;49068;40;;2;49068-40--2;20180207;6;35,3;76;32,65593361;31,26403685;30,00322649;30,00001402;30;30,00004167;30,04210545;30,05395149;0,406098058;0,28532942;-0,014665615;-0,000966666;0;0,001666665;0,052950458;0,059928155;0,43;0,293333333;-0,014666667;-0,000966667;0;0,001666667;0,053;0,06;12,9;8,8;-0,44;-0,029;0;0,05;1,59;1,8;30;35;5;3,7;1,9;6,1;4,51;0,14;0,09;0;0;0,177;0,206;28,2;28,64;30,8;22;35,1;22,2;
1894;LR-50255-962--20170130-1-90-33,1;LR-50255-962-;LR;50255;962;;1;50255-962--1;20170130;5;32,2;90;32,35799747;32,38826948;32,02833759;32,00038514;32,55764119;32,00062499;32,15174023;32,00562451;0,148889948;0,154996742;0,042068915;-0,004906211;0,18534795;-0,006249919;-0,097192797;0,018747803;0,15;0,15625;0,04209375;-0,00490625;0,1875;-0,00625;-0,0975;0,01875;4,8;5;1,347;-0,157;6;-0,2;-3,12;0,6;32;56;24;2,3;1,7;4,93;8,05;0,08;0,28;512;506;0,154;0,311;37,348;36,001;30,8;25,8;31,6;26,8;
1900;LR-50255-994--20170816-1-74-39,3;LR-50255-994-;LR;50255;994;;1;50255-994--1;20170816;33;39,8;74;23,00543414;23,10497782;23,00001704;23,00000217;24,35159132;23;23,00297589;23,00021739;-0,021735707;0,095362047;-0,001217391;-0,000434783;0,334736837;0;-0,016085569;0,004347799;-0,02173913;0,095652174;-0,001217391;-0,000434783;0,347826087;0;-0,016086957;0,004347826;-0,5;2,2;-0,028;-0,01;8;0;-0,37;0,1;23;48;25;4;3,9;4,84;5,21;0,1;0,1;613;605;0,131;0,141;36,244;36,272;38;35,8;37;37,5;
1907;LR-50427-408-IVALO-20170306-4-35-49,6;LR-50427-408-IVALO;LR;50427;408;IVALO;4;50427-408-IVALO-4;20170306;10;49,3;35;1,166190379;1;1,070478398;1,000264465;2,236067977;1,000049999;1,06976633;1;-0,5404195;0;0,364893489;-0,022995946;1,107148718;-0,009999667;-0,36314701;0;-0,6;0;0,382;-0,023;2;-0,01;-0,38;0;-0,6;0;0,382;-0,023;2;-0,01;-0,38;0;1;32;31;3,6;3,6;15,51;15,89;0,43;0,44;662;660;0,322;0,345;35,884;35,502;0;0;48,6;49,2;
1909;LR-50427-418-ISSIKKA-20170306-4-30-46,5;LR-50427-418-ISSIKKA;LR;50427;418;ISSIKKA;4;50427-418-ISSIKKA-4;20170306;10;47,1;30;1,077032961;1;1,070478398;1,000544352;1,414213562;1,001798383;1,486606875;1;0,380506377;0;0,364893489;-0,032988029;-0,785398163;-0,059928155;-0,832981267;0;0,4;0;0,382;-0,033;-1;-0,06;-1,1;0;0,4;0;0,382;-0,033;-1;-0,06;-1,1;0;1;27;26;2,6;2,6;14,45;15,55;0,28;0,34;607;608;0,304;0,337;35,884;35,502;0;0;47,9;47,5;
1916;LR-50427-641-LAAVA-20170526-2-58-62,2;LR-50427-641-LAAVA;LR;50427;641;LAAVA;2;50427-641-LAAVA-2;20170526;21;64,2;58;30,91294227;30,70439708;28,01354389;28,00018579;36,23534186;28,00244454;29,44782505;28,01446055;0,437604295;0,422853926;-0,031097115;0,003642841;-0,687671256;0,013213517;0,31487781;0,032131794;0,467857143;0,45;-0,031107143;0,003642857;-0,821428571;0,013214286;0,325714286;0,032142857;13,1;12,6;-0,871;0,102;-23;0,37;9,12;0,9;28;34;6;3,4;2,5;16,93;7,81;0,49;0,12;680;703;0,28;0,178;33,754;34,625;58,4;45,8;60,7;47,6;
1940;LR-50476-754-Itä-20180425-5-31-31,4;LR-50476-754-Itä;LR;50476;754;Itä;5;50476-754-Itä-5;20180425;17;27,6;31;20,72414051;19,98099097;15,03303083;15,00037453;52,20153254;15,30099343;15,48372048;15,17530889;0,761511922;0,721654851;0,066302672;0,007066549;-1,279339532;-0,198677282;0,250617701;0,152148326;0,953333333;0,88;0,0664;0,007066667;-3,333333333;-0,201333333;0,256;0,153333333;14,3;13,2;0,996;0,106;-50;-3,02;3,84;2,3;15;16;1;3,3;1;4,79;0,95;0,07;3,09;522;572;0,21;0,104;23,337;22,341;23,5;10,3;25,8;11,5;
1945;LR-50476-927-Jontikka-20171113-3-36-42,6;LR-50476-927-Jontikka;LR;50476;927;Jontikka;3;50476-927-Jontikka-3;20171113;46;42,8;36;16,8629772;18,30956034;14,15396496;14,00003432;42,3792402;14,00028928;14,02171174;14,06022759;0,591292065;0,700332623;0,147632289;-0,002214282;-1,234121507;0,006428483;0,055656746;0,09259163;0,671428571;0,842857143;0,148714286;-0,002214286;-2,857142857;0,006428571;0,055714286;0,092857143;9,4;11,8;2,082;-0,031;-40;0,09;0,78;1,3;14;22;8;3,7;2,4;5,44;4,66;0,24;0,15;739;779;0,13;0,161;25,491;23,409;42,6;30,8;42,9;33,5;
1961;LR-51031-223--20170201-2-68-47,2;LR-51031-223-;LR;51031;223;;2;51031-223--2;20170201;5;46,6;68;37,04173322;36,80774375;34,03254536;34,00001601;49,51767361;34,00000147;34,16268286;34,05304685;0,408082133;0,39311923;0,043736796;0,000970588;-0,813961821;-0,000294118;0,097629801;0,055824291;0,432352941;0,414705882;0,043764706;0,000970588;-1,058823529;-0,000294118;0,097941176;0,055882353;14,7;14,1;1,488;0,033;-36;-0,01;3,33;1,9;34;38;4;4,9;3;6,52;3,19;0,14;0,15;652;688;0,134;0,101;25,938;24,45;46,3;32,2;47,5;32,8;
1988;LR-51112-202-Imarre-20180117-4-73-44,3;LR-51112-202-Imarre;LR;51112;202;Imarre;4;51112-202-Imarre-4;20180117;3;45,1;73;22,05107707;22,27666941;22,00178175;22,00000002;28,42534081;22,00000227;22,00345655;22,00022727;0,068076458;0,157768738;-0,012726586;-4,55E-05;-0,685729511;0,000454545;0,017725416;0,004545423;0,068181818;0,159090909;-0,012727273;-4,55E-05;-0,818181818;0,000454545;0,017727273;0,004545455;1,5;3,5;-0,28;-0,001;-18;0,01;0,39;0,1;22;44;22;4,1;4;7,02;6,63;0,14;0,13;543;561;0,153;0,154;30,932;31,212;44,8;41,3;45,5;44;
2001;LR-51112-538-Viitalan Jacaranda-20180117-4-69-38;LR-51112-538-Viitalan Jacaranda;LR;51112;538;Viitalan Jacaranda;4;51112-538-Viitalan Jacaranda-4;20180117;3;39;69;22,56102835;23,21120419;22,00178175;22,00000002;23,08679276;22,00011136;22,04513779;22,00022727;0,223476601;0,324475343;-0,012726586;-4,55E-05;-0,308052781;0,003181807;0,064003371;-0,004545423;0,227272727;0,336363636;-0,012727273;-4,55E-05;-0,318181818;0,003181818;0,064090909;-0,004545455;5;7,4;-0,28;-0,001;-7;0,07;1,41;-0,1;22;40;18;3,3;3,4;8,1;6,69;0,19;0,12;526;533;0,219;0,22;30,932;31,212;35,5;28,1;36,1;31,1;
2010;LR-51112-956-Kiira-Suurniitty-20160809-2-58-34,8;LR-51112-956-Kiira-Suurniitty;LR;51112;956;Kiira-Suurniitty;2;51112-956-Kiira-Suurniitty-2;20160809;33;33,7;58;24,01270497;24,19194081;23,00015339;23,00004802;33,24154028;23,00048913;23,22430623;23,00086955;0,291456794;0,3152147;-0,003652158;0,002043475;-0,806671549;0,006521647;0,139095941;0,008695433;0,3;0,326086957;-0,003652174;0,002043478;-1,043478261;0,006521739;0,14;0,008695652;6,9;7,5;-0,084;0,047;-24;0,15;3,22;0,2;23;31;8;3,1;2,9;8,4;5,18;0,25;0,1;512;536;0,237;0,19;36,735;36,819;33,5;26;35,3;28,4;
2016;LR-51663-505-Ilo-20171024-5-33-21,7;LR-51663-505-Ilo;LR;51663;505;Ilo;5;51663-505-Ilo-5;20171024;43;26,4;33;14,04599587;15,49322433;12,01223393;12,00015;642,1121397;12,0077017;12,02039933;12;0,546524431;0,684821246;0,04513599;-0,004999958;1,552106914;-0,035818008;0,058267303;0;0,608333333;0,816666667;0,045166667;-0,005;53,5;-0,035833333;0,058333333;0;7,3;9,8;0,542;-0,06;642;-0,43;0,7;0;12;19;7;2;2;5,48;4,78;0,48;0,91;642;0;0,25;0,31;35,582;35,04;21,5;11,7;19,8;12,5;
2022;LR-51663-555-Jilla-20170502-3-64-60,5;LR-51663-555-Jilla;LR;51663;555;Jilla;3;51663-555-Jilla-3;20170502;18;60,1;64;32,65593361;35,83517825;30,00021282;30,00000007;69,7782201;30,02603037;30,04534074;30;0,406098058;0,578714945;-0,003766649;6,67E-05;-1,126377117;0,041642579;0,054944642;0;0,43;0,653333333;-0,003766667;6,67E-05;-2,1;0,041666667;0,055;0;12,9;19,6;-0,113;0,002;-63;1,25;1,65;0;30;37;7;2,4;2,4;6,05;4,4;1,3;0,05;634;697;0,108;0,106;39,571;39,684;57;37,4;55,6;42,7;
2029;LR-51663-598-Kätsy-20180220-3-39-46,6;LR-51663-598-Kätsy;LR;51663;598;Kätsy;3;51663-598-Kätsy-3;20180220;8;46,8;39;21,25299979;23,68881593;18,00899112;18,00004011;18,24828759;18,00033611;18,30180592;18,01360597;0,560594325;0,707710521;0,031600588;0,002111108;0,165148677;0,006111035;0,181857211;0,038869302;0,627777778;0,855555556;0,031611111;0,002111111;0,166666667;0,006111111;0,183888889;0,038888889;11,3;15,4;0,569;0,038;3;0,11;3,31;0,7;18;25;7;4,1;3,4;8,27;4,96;0,23;0,12;594;591;0,172;0,134;39,676;39,107;46,8;31,4;48,2;36,9;
2038;LR-51663-633-Lipana-20161118-1-95-31,1;LR-51663-633-Lipana;LR;51663;633;Lipana;1;51663-633-Lipana-1;20161118;47;28,7;95;23,02172887;23,02628932;23,11651193;23,00008904;23,19482701;23,0000087;23,07268732;23,00195644;0,043450895;-0,047789672;0,100443452;-0,002782602;-0,129702537;-0,000869565;-0,079397953;-0,013042739;0,043478261;-0,047826087;0,100782609;-0,002782609;-0,130434783;-0,000869565;-0,079565217;-0,013043478;1;-1,1;2,318;-0,064;-3;-0,02;-1,83;-0,3;23;73;50;2,4;2,7;4,89;6,72;0,13;0,15;549;552;0,167;0,231;37,849;35,531;27,5;28,6;30,4;29,4;
2071;LR-52019-363-Pakasen Jippu-20180130-4-42-36;LR-52019-363-Pakasen Jippu;LR;52019;363;Pakasen Jippu;4;52019-363-Pakasen Jippu-4;20180130;5;37;42;16,85496959;17,0531522;16,01813485;16,00000612;106,212052;16,00015312;16,02700533;16,00124995;0,319874384;0,353279991;-0,047589042;0,000875;-1,419578637;0,004374972;0,058059674;0,012499349;0,33125;0,36875;-0,047625;0,000875;-6,5625;0,004375;0,058125;0,0125;5,3;5,9;-0,762;0,014;-105;0,07;0,93;0,2;16;31;15;2,9;2,7;3,45;2,52;0,14;0,07;168;273;0,091;0,077;25,272;26,034;35,9;30;37,6;32,3;
2072;LR-52019-375-Pakasen Jazz-20170120-3-68-44,7;LR-52019-375-Pakasen Jazz;LR;52019;375;Pakasen Jazz;3;52019-375-Pakasen Jazz-3;20170120;3;47,3;68;33,23266465;33,83784863;28,03433197;28,00005802;28;28,00002857;28,00057857;28,0016071;0,568806297;0,596199141;0,049495257;-0,002035711;0;0,00142857;0,006428483;0,010713876;0,639285714;0,678571429;0,049535714;-0,002035714;0;0,001428571;0,006428571;0,010714286;17,9;19;1,387;-0,057;0;0,04;0,18;0,3;28;33;5;3,6;3,3;4,5;4,32;0,12;0,08;0;0;0,107;0,164;25,983;24,596;45,4;26,4;44,4;26,5;
2086;LR-52019-425-Pakasen Moneypenny-20180213-2-38-34;LR-52019-425-Pakasen Moneypenny;LR;52019;425;Pakasen Moneypenny;2;52019-425-Pakasen Moneypenny-2;20180213;7;33,8;38;11,37585162;11,63786922;11,00144009;11;105,5746182;11,00029091;11,01324657;11,00409015;0,257771142;0,332619692;0,016180406;0;-1,466415174;-0,007272599;0,049051531;0,027265968;0,263636364;0,345454545;0,016181818;0;-9,545454545;-0,007272727;0,049090909;0,027272727;2,9;3,8;0,178;0;-105;-0,08;0,54;0,3;11;24;13;3,6;3,3;4,05;3,51;0,05;0,13;19;124;0,123;0,123;25,45;25,272;31,7;27,9;32,5;29,6;
2095;LR-52105-765-JOULU-20171025-3-112-46,9;LR-52105-765-JOULU;LR;52105;765;JOULU;3;52105-765-JOULU-3;20171025;43;51,5;112;27,06011826;26,77610875;26,01019;26,00000008;26;26,00372281;26,04208901;26,00692216;0,280837725;0,241355491;0,027992686;-7,69E-05;0;0,016921462;0,056861715;0,023072828;0,288461538;0,246153846;0,028;-7,69E-05;0;0,016923077;0,056923077;0,023076923;7,5;6,4;0,728;-0,002;0;0,44;1,48;0,6;26;48;22;5;4,4;16,84;15,36;0,68;0,24;0;0;0,318;0,32;29,708;28,98;50,3;43,9;54,2;46,7;
2104;LR-52105-798-LIINU-20170221-2-100-26,9;LR-52105-798-LIINU;LR;52105;798;LIINU;2;52105-798-LIINU-2;20170221;8;28;100;35,38417725;35,14598128;35,02278071;35,00012623;35;35,00005143;35,005491;35,01156952;0,14749252;0,091175086;0,036070063;-0,002685708;0;-0,001714284;-0,017712433;-0,02570862;0,148571429;0,091428571;0,036085714;-0,002685714;0;-0,001714286;-0,017714286;-0,025714286;5,2;3,2;1,263;-0,094;0;-0,06;-0,62;-0,9;35;60;25;2,7;3,6;10,33;10,95;0,15;0,21;0;0;0,346;0,44;29,456;28,193;27,7;24,5;30;24,8;
2108;LR-52105-810-Laatu-20170703-1-110-16,5;LR-52105-810-Laatu;LR;52105;810;Laatu;1;52105-810-Laatu-1;20170703;27;17;110;27;27;27,00265989;27;27;27,20457498;27;27;0;0;-0,014036115;0;0;0,122713634;0;0;0;0;-0,014037037;0;0;0,123333333;0;0;0;0;-0,379;0;0;3,33;0;0;27;83;56;1,7;1,7;0;0;12,05;8,72;0;0;0;0;26,889;27,268;17;17;16,5;16,5;
2127;LR-52300-877-KAIKU-20170703-2-52-45,7;LR-52300-877-KAIKU;LR;52300;877;KAIKU;2;52300-877-KAIKU-2;20170703;27;45,4;52;23,20021552;21,4869728;14,06619241;14,000343;14;14,01002855;14,94849825;14,05133446;0,9229849;0,861160464;0,097051283;-0,006999886;0;-0,037839073;0,3581443;0,085505294;1,321428571;1,164285714;0,097357143;-0,007;0;-0,037857143;0,374285714;0,085714286;18,5;16,3;1,363;-0,098;0;-0,53;5,24;1,2;14;17;3;3,9;2,7;14,8;9,56;0,33;0,86;0;0;0,375;0,473;30,672;29,309;36,7;20,4;39,1;20,6;
2131;LR-52300-990-NYYHKY-20180504-1-37-37,2;LR-52300-990-NYYHKY;LR;52300;990;NYYHKY;1;52300-990-NYYHKY-1;20180504;18;33,8;37;29,9300852;28,47174038;15,02440468;15,00509517;15;17,87939876;18,41944896;15,38050714;1,045848371;1,015920002;0,05700484;0,026060765;0;-0,575437333;0,619176593;0,222900232;1,726666667;1,613333333;0,057066667;0,026066667;0;-0,648666667;0,712666667;0,226666667;25,9;24,2;0,856;0,391;0;-9,73;10,69;3,4;15;16;1;3,4;0;11,11;0,42;0,22;9,95;0;0;0,391;0;28,5;27,644;26,4;2,2;28,1;2,2;
2141;LR-52760-1018-Leikki-20160711-1-62-43,8;LR-52760-1018-Leikki;LR;52760;1018;Leikki;1;52760-1018-Leikki-1;20160711;29;42,1;62;43,54090031;41,93578424;35,00218395;35,00043251;690,8871109;35,00020571;35,20352823;35,0690747;0,637070329;0,583373007;-0,011170964;-0,004971388;-1,520115127;0,003428558;0,10758301;0,062774555;0,74;0,66;-0,011171429;-0,004971429;-19,71428571;0,003428571;0,108;0,062857143;25,9;23,1;-0,391;-0,174;-690;0,12;3,78;2,2;35;37;2;3,7;1,5;6,42;2,64;0,16;0,04;0;690;0,178;0,352;29,352;29,743;36,1;13;38,3;12,4;
2143;LR-52760-1021-LÃ¶pÃ¶-20160914-1-82-35,8;LR-52760-1021-LÃ¶pÃ¶;LR;52760;1021;LÃ¶pÃ¶;1;52760-1021-LÃ¶pÃ¶-1;20160914;38;36,5;82;25,29822128;25,46075411;24,00639323;24,00001752;24;24,00001875;24,14476341;24,0208243;0,321750554;0,340381939;-0,023079235;0,001208333;0;0,001249999;0,109559527;0,041642579;0,333333333;0,354166667;-0,023083333;0,001208333;0;0,00125;0,11;0,041666667;8;8,5;-0,554;0,029;0;0,03;2,64;1;24;41;17;3,7;2,7;7,2;4,56;0,12;0,09;0;0;0,209;0,18;29,86;30,414;34,6;26,1;35,9;27,9;
2144;LR-52760-711-aurinko-20160616-6-89-53,1;LR-52760-711-aurinko;LR;52760;711;aurinko;6;52760-711-aurinko-6;20160616;25;52;89;31,98765387;31,95309062;30,03144812;30,00009882;31,6227766;30,00322649;30,04700318;30,02815346;-0,354379919;0,351444794;-0,045768016;-0,002566661;-0,321750554;0,014665615;-0,055941571;0,04330624;-0,37;0,366666667;-0,0458;-0,002566667;-0,333333333;0,014666667;-0,056;0,043333333;-11,1;11;-1,374;-0,077;-10;0,44;-1,68;1,3;30;54;24;4,6;3,3;5,91;7,59;0,55;0,11;738;748;0,113;0,19;29,743;31,117;51,3;40,3;33,1;44,2;
2162;LR-53330-1220-Krisse-20170928-3-78-50,1;LR-53330-1220-Krisse;LR;53330;1220;Krisse;3;53330-1220-Krisse-3;20170928;39;51,6;78;30,54848605;33,24154028;24,00000033;24,00037968;84,48076704;24,00001875;25,15654189;24,04079866;0,667072381;0,764124777;0,000166667;0,005624941;1,28274088;0,001249999;0,304402534;0,058267303;0,7875;0,958333333;0,000166667;0,005625;3,375;0,00125;0,314166667;0,058333333;18,9;23;0,004;0,135;81;0,03;7,54;1,4;24;43;19;2,7;1,3;8,65;1,11;0,18;0,15;617;536;0,172;0,037;33,29;33,286;45,4;22,4;50,5;31,6;
2164;LR-53330-1256-Kliivia-20180508-3-88-52,3;LR-53330-1256-Kliivia;LR;53330;1256;Kliivia;3;53330-1256-Kliivia-3;20180508;19;50,3;88;30,17018396;30,87539473;30,30010752;30,00012907;32,31098884;30,66054305;30,22976017;30,06659276;0,106264863;0,238694378;-0,140860902;-0,002933325;-0,380506377;0,207949764;-0,123370258;0,066568164;0,106666667;0,243333333;-0,1418;-0,002933333;-0,4;0,211;-0,124;0,066666667;3,2;7,3;-4,254;-0,088;-12;6,33;-3,72;2;30;47;17;4,9;2,9;0;3,72;6,42;0,09;619;631;0;0,088;26,823;31,077;46,3;39;45,2;42;
2168;LR-53330-1272-Lady-20170523-2-69-50,7;LR-53330-1272-Lady;LR;53330;1272;Lady;2;53330-1272-Lady-2;20170523;21;48,9;69;30,6757233;29,49847454;29,03319727;29,00006207;40,31128874;29,00002759;29,16949777;29,00068965;0,332059468;0,184098471;0,047825572;0,002068963;-0,767856103;0,001379309;0,107855684;0,006896442;0,344827586;0,186206897;0,047862069;0,002068966;-0,965517241;0,00137931;0,108275862;0,006896552;10;5,4;1,388;0,06;-28;0,04;3,14;0,2;29;43;14;3,6;3,4;7,9;4,76;0,16;0,12;632;660;0,177;0,117;32,874;31,486;44,3;38,9;49,7;39,7;
2181;LR-53330-1401-Miranda-20171229-1-73-30,7;LR-53330-1401-Miranda;LR;53330;1401;Miranda;1;53330-1401-Miranda-1;20171229;52;31,2;73;32,36495018;31,26995363;31,00666782;31,00013652;31,06444913;31,01677611;31,04388023;31,01306176;0,291456794;0,131494897;-0,020738962;0,002967733;-0,064426839;-0,03289136;-0,053175629;0,029024105;0,3;0,132258065;-0,020741935;0,002967742;-0,064516129;-0,032903226;-0,053225806;0,029032258;9,3;4,1;-0,643;0,092;-2;-1,02;-1,65;0,9;31;44;13;2,6;1,7;0;1,65;0;1,02;619;621;0,151;0,059;29,483;30,126;30,1;26;31,5;22,2;
