;KEY;CowKEY;Records source;Farm;Cow Code;Cow Name;Calving No;CowCalvingKEY;Date;Week;CowCalvPeakProdAvg;CowCalvPeakProdAvgDIM;DistProdToday;DistProdAvg;DistFarm;DistFPM;DistWeight;DistJaanos;DistSyo;DistLyps;AngleProdToday;AngleProdAvg;AngleFarm;AngleFPM;AngleWeight;AngleJaanos;AngleSyo;AngleLyps;SlopeProdToday;SlopeProdAvg;SlopeFarm;SlopeFPM;SlopeWeight;SlopeJaanos;SlopeSyo;SlopeLyps;DiffProdToday;DiffProdAvg;DiffFarm;DiffFPM;DiffWeight;DiffJaanos;DiffSyo;DiffLyps;DiffDIM;DIM-P2;DIM-P1;Lypsy-P2;Lypsy-P1;Syo-P2;Syo-P1;Jaanos-P2;Jaanos-P1;Weight-P2;Weight-P1;FeedPerMilk-P2;FeedPerMilk-P1;FarmProd-P2;FarmProd-P1;ProdAvg-P2;ProdAvg-P1;ProdToday-P2;ProdToday-P1;Unnamed: 63
9179;LR-68618-185-O,Lahko-20170505-2-51-57,3;LR-68618-185-O,Lahko;LR;68618;185;O,Lahko;2;68618-185-O,Lahko-2;20170505;18;57,8;51;64,15793014;63,7047094;46,12440586;27,00022407;653,5579546;27,00047407;27,75508782;27,35616932;1,13642905;1,133126019;0,9454558;0,004074052;1,529472239;0,005925857;0,233793252;0,161542924;2,155555556;2,137037037;1,385037037;0,004074074;24,18518519;0,005925926;0,238148148;0,162962963;-58,2;-57,7;-37,396;-0,11;-653;-0,16;-6,43;-4,4;-27;0;27;0;4,4;0;6,43;0;0,16;0;653;0;0,11;0;37,396;0;57,7;0;58,2;
9183;LR-71159-373-kuura-20170830-3-57-55,8;LR-71159-373-kuura;LR;71159;373;kuura;3;71159-373-kuura-3;20170830;35;54,6;57;7,000714249;7,696752562;7,010689624;7,00012007;16,55294536;7,000114285;7,499073276;7,000714249;-0,014284743;0,428778027;0,05522949;0,005857076;-1,134169167;0,005714224;0,366886615;0,014284743;-0,014285714;0,457142857;0,055285714;0,005857143;-2,142857143;0,005714286;0,384285714;0,014285714;-0,1;3,2;0,387;0,041;-15;0,04;2,69;0,1;7;22;15;3,4;3,3;13,35;10,66;0,34;0,3;579;594;0,263;0,222;37,864;37,477;47,6;44,4;48;48,1;
9186;LR-71159-399-kuulas-20171220-3-44-69,8;LR-71159-399-kuulas;LR;71159;399;kuulas;3;71159-399-kuulas-3;20171220;51;67,9;44;16,28158469;13,80615805;7,016369503;7,000330278;27,89265136;7,00285656;8,220468356;7,017834424;1,126377117;1,03907226;-0,068322066;0,00971398;-1,317122231;-0,028563658;0,551894064;0,071307465;2,1;1,7;-0,068428571;0,009714286;-3,857142857;-0,028571429;0,615714286;0,071428571;14,7;11,9;-0,479;0,068;-27;-0,2;4,31;0,5;7;9;2;2;1,5;7,92;3,61;1,02;1,22;680;707;0,199;0,131;31,708;32,187;37,7;25,8;38,8;24,1;
9204;LR-71159-483-Myrna-20171205-1-54-34,7;LR-71159-483-Myrna;LR;71159;483;Myrna;1;71159-483-Myrna-1;20171205;49;34,8;54;8,215229759;9,284934033;7,014967142;7,000257138;11,40175425;7,001028496;7,65167302;7,034912935;0,550857535;0,71680366;0,065335446;0,008571219;-0,909753158;0,017141178;0,415703103;0,099668652;0,614285714;0,871428571;0,065428571;0,008571429;-1,285714286;0,017142857;0,441428571;0,1;4,3;6,1;0,458;0,06;-9;0,12;3,09;0,7;7;20;13;3,1;2,4;10,45;7,36;0,3;0,18;587;596;0,335;0,275;33,261;32,803;30,6;24,5;31,2;26,9;
9205;LR-71159-484-Mini-20170823-1-58-41;LR-71159-484-Mini;LR;71159;484;Mini;1;71159-484-Mini-1;20170823;34;41,2;58;7,102112362;7,308214556;7,008447474;7,000274566;17,4642492;7,00925103;7,41306954;7;0,169778274;0,291456794;0,049103354;0,008856911;-1,158385885;0,051383302;0,335401584;0;0,171428571;0,3;0,049142857;0,008857143;-2,285714286;0,051428571;0,348571429;0;1,2;2,1;0,344;0,062;-16;0,36;2,44;0;7;23;16;2;2;11,77;9,33;0,82;0,46;479;495;0,391;0,329;37,477;37,133;27,9;25,8;28,9;27,7;
9207;LR-71159-494-Midi-20171220-1-61-39,1;LR-71159-494-Midi;LR;71159;494;Midi;1;71159-494-Midi-1;20171220;51;39,8;61;9,484724561;8,431488599;7,016369503;7,000034571;7,615773106;7,00285656;7,54668139;7;0,740651932;0,591292065;-0,068322066;0,003142847;-0,404891786;0,028563658;0,382967002;0;0,914285714;0,671428571;-0,068428571;0,003142857;-0,428571429;0,028571429;0,402857143;0;6,4;4,7;-0,479;0,022;-3;0,2;2,82;0;7;26;19;3,1;3,1;14;11,18;0,56;0,36;598;601;0,35;0,328;31,708;32,187;37,8;33,1;40,2;33,8;
9215;LR-71159-971-hei-20180321-6-65-56;LR-71159-971-hei;LR;71159;971;hei;6;71159-971-hei-6;20180321;12;52,8;65;8,732124598;9,228217596;8,107518486;8,000001;10,63014581;8,00000625;8,148772914;8,005623024;0,412410442;0,52183428;0,163039831;-0,0005;-0,71883;0,001249999;0,191378785;-0,037482437;0,4375;0,575;0,1645;-0,0005;-0,875;0,00125;0,19375;-0,0375;3,5;4,6;1,316;-0,004;-7;0,01;1,55;-0,3;8;31;23;3,1;3,4;15,29;13,74;0,32;0,31;601;608;0,299;0,303;36,165;34,849;50,3;45,7;50;46,5;
9217;LR-71159-981-Muusa-20180313-1-63-35,2;LR-71159-981-Muusa;LR;71159;981;Muusa;1;71159-981-Muusa-1;20180313;11;37,1;63;7,085901495;7,203471385;7,235253969;7,000018286;8,062257748;7,024820282;7,138627319;7,011419257;-0,155868201;0,238244758;-0,255705707;0,00228571;-0,519146114;-0,08408697;0,19739556;0,057080782;-0,157142857;0,242857143;-0,261428571;0,002285714;-0,571428571;-0,084285714;0,2;0,057142857;-1,1;1,7;-1,83;0,016;-4;-0,59;1,4;0,4;7;29;22;2,7;2,3;13,27;11,87;0,24;0,83;528;532;0,407;0,391;34,849;36,679;32,7;31;30,3;31,4;
9222;LR-72251-1403-Mirva-20180222-1-98-32,8;LR-72251-1403-Mirva;LR;72251;1403;Mirva;1;72251-1403-Mirva-1;20180222;8;36,6;98;7,337574531;7,138627319;7,43236194;7,000340063;7,615773106;7,032951016;7,035915008;7,011419257;0,304510883;-0,19739556;-0,342770524;-0,009856824;0,404891786;0,096839005;-0,101082879;-0,057080782;0,314285714;-0,2;-0,356857143;-0,009857143;0,428571429;0,097142857;-0,101428571;-0,057142857;2,2;-1,4;-2,498;-0,069;3;0,68;-0,71;-0,4;7;64;57;2;2,4;5,06;5,77;0,98;0,3;665;662;0,172;0,241;30,159;32,657;31,4;32,8;31;28,8;
9223;LR-72251-182-K, Libra-20171018-2-59-42,7;LR-72251-182-K, Libra;LR;72251;182;K, Libra;2;72251-182-K, Libra-2;20171018;42;40,7;59;10,0019998;10,06031809;10,36410773;10,00002;10,44030651;10,00002;10,02808556;10,0019998;0,019997334;0,109559527;-0,265854314;-0,001999997;0,291456794;-0,001999997;-0,074859848;0,019997334;0,02;0,11;-0,2723;-0,002;0,3;-0,002;-0,075;0,02;0,2;1,1;-2,723;-0,02;3;-0,02;-0,75;0,2;10;26;16;3,9;3,7;5,91;6,66;0,11;0,13;677;674;0,149;0,169;28,007;30,73;38,4;37,3;40,1;39,9;
